query mid=9451,threshold=0.170000
in func similar
cmp with mail 0,A=125,B=121
ptrA:90,ptrB:89,intersect:0
ptrA:90,ptrB:90,intersect:0
ptrA:91,ptrB:90,intersect:0
ptrA:92,ptrB:90,intersect:0
ptrA:93,ptrB:90,intersect:0
ptrA:93,ptrB:91,intersect:0
ptrA:93,ptrB:92,intersect:0
ptrA:94,ptrB:92,intersect:0
ptrA:94,ptrB:93,intersect:0
ptrA:95,ptrB:93,intersect:0
ptrA:95,ptrB:94,int
